City,State,BankState,Term,NoEmp,NewExist,UrbanRural,DisbursementGross,MIS_Status
SAINT PAUL,MN,WI,60,30,New Business,Undefined,50000,0
Prestonsburg,KY,VA,84,9,New Business,Rural,50000,0
SAN FRANCISCO,CA,TX,300,6,New Business,Undefined,450500,0
CAMDEN,SC,NC,84,2,Existing Business,Urban,10000,0
Grayslake,IL,VA,84,1,New Business,Rural,25000,0
NEW HOLLAND,PA,PA,60,2,Existing Business,Undefined,100000,0
DEBUQUE,IA,VA,84,7,New Business,Urban,50000,0
KEWAUNEE,WI,VA,57,3,New Business,Urban,50000,1
SYOSSET,NY,VA,84,4,New Business,Urban,50000,0
Naperville,IL,VA,84,3,New Business,Rural,50000,0
DENTON,TX,TX,60,5,New Business,Undefined,80000,0
MIAMI,FL,NC,2,3,New Business,Urban,90435,1
JENISON,MI,VA,84,2,New Business,Urban,50000,0
MINNEAPOLIS,MN,MN,84,20,Existing Business,Undefined,150000,0
ST. PAUL,MN,MN,12,36,New Business,Urban,750000,0
PHOENIX,AZ,NC,84,1,Existing Business,Urban,10000,0
BILLINGS,MT,MT,12,1,New Business,Urban,127240,0
LAKEWOOD,OH,OH,300,8,New Business,Undefined,150000,0
Tigard,OR,NC,68,14,New Business,Urban,49950,1
BIRMINGHAM,AL,AL,60,11,New Business,Undefined,250000,0
OGDEN,UT,UT,4,11,New Business,Urban,18200,0
LOUISBURG,NC,VA,84,6,New Business,Urban,35000,0
GRIFFIN,GA,SD,60,5,New Business,Urban,100000,0
Winsted,CT,DE,60,2,Existing Business,Urban,12000,0
KEY WEST,FL,NC,84,1,New Business,Rural,8014,0
Mt. Pleasant,PA,PA,60,10,New Business,Rural,23800,0
EDMONDS,WA,NC,7,4,New Business,Rural,124432,1
NORTH POTOMAC,MD,NC,84,1,Existing Business,Urban,10000,0
Mt. Pleasant,PA,PA,60,10,New Business,Rural,21594,0
BROADVIEW HEIGHTS,OH,OH,78,4,Existing Business,Urban,100000,0
MASHPEE,MA,MA,58,3,Existing Business,Undefined,30000,1
MIAMI,FL,NC,27,6,New Business,Urban,51002,1
FREDERICK,MD,NC,84,2,New Business,Urban,18000,0
MOUNT PLEASANT,PA,DE,180,10,New Business,Rural,102000,0
Harrisburg,PA,PA,36,4,New Business,Rural,123574,0
LINCOLNTON,GA,NC,84,2,New Business,Urban,60000,0
WOODBURY,TN,NC,84,1,Existing Business,Rural,12000,0
Annandale,VA,SD,84,2,Existing Business,Urban,110000,0
AUSTIN,TX,NC,84,60,New Business,Urban,275000,0
Brandon,FL,VA,20,5,New Business,Urban,50000,1
WILLIAMSPORT,PA,PA,60,5,New Business,Undefined,100000,0
EAST HARTFORD,CT,NY,223,5,New Business,Undefined,305000,1
Frankfort,IL,VA,25,4,New Business,Rural,50000,1
WINTER GARDEN,FL,NC,84,4,New Business,Urban,50000,0
West Columbia,SC,VA,84,5,New Business,Urban,50000,0
SAN ANTONIO,TX,NC,84,11,New Business,Urban,327586,0
CAMBRIDGE,MA,MA,84,1,Existing Business,Urban,175000,0
HOUSTON,TX,NC,84,2,Existing Business,Urban,10000,0
BERLIN,CT,CA,84,7,New Business,Undefined,60400,0
Westmont,IL,VA,84,1,New Business,Rural,10000,0
COMMERCE TOWNSHIP,MI,IL,48,5,New Business,Rural,17000,0
WAUSAU,WI,WI,60,23,New Business,Urban,213400,0
SOUTHLAKE,TX,NC,84,2,New Business,Urban,34500,0
MIAMI,FL,NC,84,3,New Business,Urban,30000,0
CHICAGO,IL,IL,84,4,New Business,Undefined,50000,0
ESSEX,MD,NC,84,30,New Business,Urban,133328,0
BEAVER FALLS,PA,DE,60,1,Existing Business,Undefined,10000,0
ARLINGTON,TX,NC,84,2,New Business,Urban,92380,0
BIGFORK,MT,MT,51,2,New Business,Rural,250000,0
ORLANDO,FL,NC,84,4,New Business,Urban,10000,0
COLUMBUS,OH,IL,102,66,New Business,Urban,517900,0
PITTSBURGH,PA,DE,36,3,Existing Business,Undefined,15000,0
FLORENCE,SC,NC,84,6,New Business,Urban,50000,0
DAVIE,FL,NC,84,4,Existing Business,Urban,10000,0
HAYS,KS,KS,180,2,New Business,Undefined,47300,0
CHESAPEAKE,VA,NC,47,1,New Business,Urban,24320,1
LITCHFIELD,ME,VA,84,17,New Business,Rural,35000,0
OGUNQUIT,ME,ME,240,16,Existing Business,Undefined,360000,0
HUDSONVILLE,MI,VA,61,2,New Business,Urban,35000,1
PITTSBURGH,PA,DE,66,4,Existing Business,Undefined,40000,0
ST. LOUIS,MO,MO,60,3,Existing Business,Undefined,100000,0
WORTHINGTON,IN,VA,60,7,New Business,Rural,25000,1
ST. HELENS,OR,TX,71,3,New Business,Undefined,191000,1
PASCO,WA,CA,60,4,New Business,Undefined,62000,0
SEATTLE,WA,NC,84,3,New Business,Urban,123000,0
WICHITA,KS,NC,84,3,New Business,Urban,45000,0
DUQUESNE,PA,DE,60,2,Existing Business,Undefined,5000,0
TORRANCE,CA,NC,24,4,New Business,Urban,51876,1
DENVER,CO,CO,12,2,Existing Business,Undefined,200000,0
FLAGSTAFF,AZ,NC,35,5,New Business,Urban,28000,1
ELIZABETHTOWN,KY,DE,17,4,New Business,Undefined,25243,1
PHOENIX,AZ,NC,49,5,New Business,Urban,47500,1
MONTEBELLO,CA,VA,84,4,New Business,Urban,50000,0
GREENSBURG,PA,PA,63,1,New Business,Undefined,30000,0
LAKE WORTH,FL,NC,45,2,New Business,Rural,21000,1
ELIZABETH,NJ,NJ,276,7,New Business,Undefined,373000,0
Britton,MI,IL,60,1,New Business,Urban,35760,0
RICHFIELD,UT,UT,84,20,Existing Business,Rural,160173,0
CLAM GULCH,AK,SD,42,4,Existing Business,Undefined,31000,0
MIRAMAR,FL,NC,84,2,New Business,Urban,184146,0
CLAYTON,NC,NC,84,20,New Business,Urban,73000,0
HOLLAND,OH,OH,84,5,Existing Business,Undefined,70000,0
Mount Vernon,OH,DE,40,5,New Business,Rural,21190,1
ARLINGTON,TX,SD,300,5,New Business,Undefined,381000,0
STUART,FL,NC,84,1,Existing Business,Rural,12000,0
BERWYN,IL,IL,35,2,New Business,Urban,33862,0
SANTA MARIA,CA,CA,300,2,New Business,Undefined,520000,0
WESTON,FL,NC,84,1,Existing Business,Urban,10000,0
DALLAS,TX,TX,84,1,Existing Business,Undefined,100000,1
PHOENIX,AZ,AZ,60,350,New Business,Undefined,350000,0
INGLESIDE,IL,OH,84,30,New Business,Undefined,430000,0
GILBERT,AZ,IL,24,33,New Business,Urban,15376,0
ROGERS,AR,AR,84,4,New Business,Undefined,35000,0
BALDWIN PARK,CA,NC,43,12,New Business,Urban,24700,1
OTTUMWA,IA,IA,84,1,Existing Business,Undefined,25000,0
LOS ANGELES,CA,NC,84,1,Existing Business,Urban,10000,0
MEMPHIS,TN,NC,38,1,New Business,Urban,10000,1
ROCKY RIVER,OH,OH,126,7,New Business,Undefined,55000,0
LOS ANGELES,CA,NC,84,20,New Business,Urban,50000,0
ST. IGNATIUS,MT,MT,180,1,New Business,Rural,67000,0
BALTIMORE,MD,NC,84,2,New Business,Urban,20000,0
EL DORADO HILLS,CA,NC,84,2,Existing Business,Urban,12814,0
THE COLONY,TX,TX,48,2,New Business,Undefined,35000,0
THOUSAND OAKS,CA,NC,64,6,New Business,Urban,50000,1
SAHUARITA,AZ,NC,22,3,New Business,Urban,20326,1
HOUSTON,TX,NC,38,1,New Business,Urban,16000,1
Chico,CA,VA,84,7,New Business,Urban,25000,0
Standish,ME,DE,84,8,New Business,Rural,50000,0
LAREDO,TX,TX,84,3,Existing Business,Undefined,100000,0
Baltimore,MD,VA,84,4,New Business,Urban,50000,0
Lawton,OK,VA,84,1,New Business,Urban,10000,0
FORT WORTH,TX,TX,232,1,New Business,Undefined,240000,0
Cando,ND,VA,48,5,New Business,Rural,10000,1
BALTIMORE,MD,MD,84,25,New Business,Undefined,50000,0
HIALEAH,FL,NC,84,2,New Business,Urban,10000,0
LEWISVILLE,TX,TX,87,5,New Business,Undefined,162000,0
St. George,UT,VA,43,3,New Business,Rural,35000,1
FRESNO,CA,DC,120,3,New Business,Undefined,160000,0
WIMBERLY,TX,TX,240,2,New Business,Undefined,534500,0
Round Lake,IL,VA,4,3,New Business,Urban,25000,1
ALBUQUERQUE,NM,NM,180,2,New Business,Undefined,60000,0
Salmon,ID,VA,84,1,New Business,Urban,50000,0
SAN DIEGO,CA,CA,240,50,New Business,Undefined,97000,0
BEDFORD,TX,NC,84,1,Existing Business,Rural,10000,0
Monticello,AR,VA,49,2,New Business,Urban,25000,1
ALBUQUERQUE,NM,NM,216,7,New Business,Undefined,275000,0
Saint Paul,MN,VA,84,1,New Business,Rural,10000,0
GAINESVILLE,GA,NC,42,1,Existing Business,Urban,10000,0
Kenton,OH,VA,37,1,New Business,Rural,10000,1
Lees Summit,MO,VA,19,7,New Business,Urban,25000,1
ALBUQUERQUE,NM,SD,84,30,Existing Business,Undefined,450000,0
SOUTH PLAINFIELD,NJ,NJ,300,61,New Business,Undefined,1700000,0
MINNEAPOLIS,MN,MN,84,78,New Business,Urban,750000,0
HOUSTON,TX,TX,28,6,New Business,Undefined,120000,0
PARSONS,KS,VA,43,10,New Business,Urban,35000,1
SEATTLE,WA,WA,240,25,New Business,Undefined,691000,0
BIRMINGHAM,AL,VA,84,3,New Business,Urban,25000,0
CARSON,CA,VA,84,6,New Business,Urban,35000,0
POQUOSON,VA,VA,28,5,New Business,Urban,25000,1
WINFIELD,KS,KS,120,4,New Business,Rural,220000,0
VILLA RIDGE,MO,MO,63,8,New Business,Rural,138000,1
CHINO HILLS,CA,NC,33,7,New Business,Urban,24195,1
WAXAHACHIE,TX,TX,84,45,Existing Business,Undefined,50000,1
King City,CA,VA,84,5,New Business,Rural,50000,0
CHARLOTTE,NC,VA,84,26,New Business,Urban,50000,0
HYATTSVILLE,MD,NC,22,1,New Business,Urban,50000,0
READING,PA,CA,47,3,Existing Business,Urban,75000,0
LOS ANGELES,CA,NC,84,1,New Business,Urban,62310,0
CANYON,TX,NC,10,10,New Business,Rural,128473,1
Manchester,NH,DE,15,1,New Business,Urban,88100,1
BOCA RATON,FL,NC,84,1,New Business,Rural,20236,0
NEWARK,OH,IL,84,2,New Business,Urban,46500,0
BISBEE,AZ,NC,84,5,New Business,Urban,10000,0
TEMPE,AZ,NC,84,2,New Business,Urban,94000,0
CLAREMONT,NH,NH,72,10,New Business,Undefined,100000,1
PALM DESERT,CA,NC,84,25,New Business,Urban,85000,0
ALBUQUERQUE,NM,NC,84,2,New Business,Urban,50000,0
LOS ANGELES,CA,NC,84,3,New Business,Urban,58800,0
INKSTER,MI,TX,60,32,Existing Business,Undefined,270000,1
NEWPORT,KY,IL,90,2,Existing Business,Urban,229000,0
LOS ANGELES,CA,NC,84,14,New Business,Urban,71000,0
PEORIA,AZ,NC,84,2,Existing Business,Urban,10000,0
RANCHO CUCAMONGA,CA,NC,17,8,New Business,Urban,60621,1
TREMONTON,UT,UT,84,2,New Business,Rural,40020,0
TALL TIMBERS,MD,NC,28,1,New Business,Urban,37500,1
ROCK HILL,SC,NC,311,12,New Business,Undefined,45000,1
PALM HARBOR,FL,NC,84,1,Existing Business,Urban,10000,0
KATY,TX,NC,84,1,New Business,Rural,6000,0
DRAPER,UT,UT,48,4,Existing Business,Urban,19000,0
Reedsburg,WI,VA,84,4,New Business,Urban,25000,0
PLANTATION,FL,NC,84,5,New Business,Urban,100000,0
TAMPA,FL,NC,84,4,New Business,Urban,74811,0
Haddem,CT,DE,60,1,New Business,Urban,90000,0
ATHENS,TX,TX,144,2,New Business,Urban,60000,1
Deerfield Beach,FL,VA,84,1,New Business,Urban,10000,0
MACHESNEY PARK,IL,OH,84,6,Existing Business,Undefined,185000,0
Phoenix,AZ,VA,84,7,New Business,Urban,25000,0
FRANKLIN,NH,NH,120,5,New Business,Undefined,40000,0
Scotia,NY,VA,84,11,New Business,Urban,50000,0
LOCKWOOD,MO,MO,60,1,New Business,Rural,150000,0
Phoenix,AZ,VA,2,12,New Business,Urban,50000,1
LOS ANGELES,CA,NC,84,12,New Business,Urban,57489,0
PINELLAS PARK,FL,NC,31,1,New Business,Urban,25000,1
NEW YORK,NY,NY,241,25,New Business,Undefined,500000,0
Haddem,CT,DE,84,1,New Business,Urban,20000,0
Temecula,CA,VA,84,5,New Business,Urban,35000,0
BELLEFONTAINE,OH,OH,120,43,New Business,Undefined,381000,0
Baltimore,MD,MD,60,4,New Business,Urban,60000,0
FRANKLIN,NH,NH,48,2,Existing Business,Undefined,40000,0
Ticonderoga,NY,DE,18,50,New Business,Rural,500000,0
DRAPER,UT,UT,84,4,Existing Business,Urban,29923,0
Houston,TX,VA,84,5,New Business,Urban,35000,0
GRAY,ME,DE,60,7,New Business,Undefined,30000,0
TACOMA,WA,NC,84,3,New Business,Rural,12000,0
FAIRPORT,NY,NY,60,13,New Business,Undefined,100000,0
MIAMISBURG,OH,OH,87,4,New Business,Undefined,100000,0
MILWAUKEE,WI,WI,120,1,New Business,Urban,538000,0
WINTER HAVEN,FL,NC,84,3,Existing Business,Urban,10000,0
VIRGINIA BEACH,VA,NC,84,4,Existing Business,Urban,19500,0
KENNEBUNKPORT,ME,NH,120,5,Existing Business,Undefined,185000,0
OXNARD,CA,VA,84,4,New Business,Urban,50000,0
HERNDON,VA,VA,60,55,New Business,Undefined,200000,0
WOODLAND HILLS,CA,NC,84,3,New Business,Urban,61022,0
GRETNA,LA,LA,84,11,New Business,Undefined,100000,0
BUFFALO,NY,NY,66,27,New Business,Undefined,325000,0
SPARKS,NV,NC,84,2,Existing Business,Urban,10000,0
LITTLETON,MA,MA,60,6,Existing Business,Undefined,150000,0
BALTIMORE,MD,NC,84,2,New Business,Urban,6476,0
BOHEMIA,NY,VA,60,10,Existing Business,Undefined,150000,1
BELCHERTOWN,MA,NC,60,1,Existing Business,Undefined,79000,0
MIAMI,FL,FL,240,5,New Business,Urban,469000,0
JEFFERSON,IA,IA,40,20,New Business,Undefined,200000,0
SAN LEANDRO,CA,NC,84,5,New Business,Urban,62478,0
BURBANK,CA,NC,84,3,New Business,Urban,51745,0
ANAHEIM,CA,NC,63,3,New Business,Urban,50000,1
HUMBOLDT,NE,NE,11,11,New Business,Undefined,350000,0
TACOMA,WA,NC,84,3,Existing Business,Urban,5000,0
JEFFERSON,IA,IA,60,20,New Business,Undefined,218500,0
SARASOTA,FL,OH,12,233,New Business,Undefined,833333,0
TEMPLE CITY,CA,NC,84,2,New Business,Urban,50000,0
VICTORVILLE,CA,NC,84,7,New Business,Urban,25000,0
RANCHO CUCAMONGA,CA,NC,84,3,New Business,Urban,41750,0
SARASOTA,FL,OH,63,263,New Business,Undefined,836500,1
MOORHEAD,MN,ND,240,15,New Business,Rural,413000,0
ROSWELL,NM,NM,60,3,Existing Business,Undefined,52500,0
LOS ANGELES,CA,NC,59,13,New Business,Urban,56750,1
DANVERS,MA,MA,300,6,New Business,Undefined,150000,0
CHASKA,MN,MN,84,9,Existing Business,Urban,253000,0
CHICAGO,IL,IL,222,60,Existing Business,Undefined,556600,0
EAGAN,MN,MN,84,1,Existing Business,Undefined,52300,0
SOUTH SAN FRANCISCO,CA,NC,84,2,New Business,Urban,30000,0
MESA,AZ,AZ,240,6,New Business,Urban,411000,0
WICHITA,KS,KS,60,4,Existing Business,Undefined,50000,0
BRANSON,MO,NC,60,1,Existing Business,Undefined,32000,0
Daytona Beach,FL,VA,84,20,New Business,Urban,25000,0
GILLETTE,WY,WY,180,2,New Business,Undefined,72000,0
Eleva,WI,VA,84,1,New Business,Rural,35000,0
BYRON,GA,FL,240,13,New Business,Urban,665000,0
Panama City Beach,FL,VA,84,2,New Business,Urban,20000,0
SHAKOPEE,MN,IL,120,9,New Business,Undefined,340000,0
OCALA,FL,NC,84,1,Existing Business,Urban,10000,0
PALO ALTO,CA,CA,240,4,New Business,Urban,660000,0
ENGLEWOOD,CO,CO,96,6,New Business,Undefined,230000,0
WARSAW,IN,IN,96,15,New Business,Undefined,150000,1
MIAMI,FL,NC,24,4,New Business,Urban,70000,1
LOS OSOS,CA,CA,17,2,New Business,Undefined,1970000,1
HILLSBOROUGH,NJ,NJ,300,2,New Business,Undefined,270000,0
Enid,MS,VA,84,13,New Business,Rural,50000,0
Cary,NC,VA,44,31,New Business,Urban,35000,1
LINCOLN,AR,AR,180,2,New Business,Undefined,445000,0
NASHVILLE,TN,NC,84,1,Existing Business,Urban,12796,0
MONTEREY PARK,CA,NC,84,1,New Business,Urban,50000,0
LUBBOCK,TX,TX,12,5,New Business,Undefined,80000,0
SHIPROCK,NM,NC,52,6,New Business,Urban,58000,0
OKLAHOMA CITY,OK,OK,240,6,New Business,Urban,1827500,0
HOHENWALD,TN,IL,120,12,Existing Business,Undefined,175000,1
MCGRATH,MN,MN,84,1,Existing Business,Undefined,10000,0
LEVITTOWN,PA,UT,84,40,New Business,Undefined,325344,0
SEATTLE,WA,NC,84,20,New Business,Urban,50000,0
ALLENTOWN,PA,VA,31,3,New Business,Urban,50000,1
STAMFORD,CT,CT,60,20,New Business,Urban,450000,0
PARKVILLE,MO,VA,84,6,New Business,Urban,35000,0
PAYSON,UT,UT,120,4,New Business,Rural,326813,0
CHANDLER,AZ,AZ,45,1,Existing Business,Undefined,127428,1
KENSINGTON,MD,NC,34,3,New Business,Urban,10000,1
NEW YORK,NY,NY,240,25,Existing Business,Undefined,194000,0
E DUNDEE,IL,VA,84,1,New Business,Urban,25000,0
BROKEN ARROW,OK,OK,21,2,New Business,Urban,98900,1
ELK GROVE VILLAGE,IL,IL,84,6,New Business,Urban,10000,0
WAMPUM,PA,OH,318,46,New Business,Rural,1975000,0
CARROLLTON,TX,TX,84,1,Existing Business,Undefined,68200,0
EL MONTE,CA,NC,84,2,New Business,Urban,13800,0
Wildwood,MO,NC,84,2,New Business,Urban,15000,0
LOS ANGELES,CA,NC,84,2,New Business,Urban,10000,0
OLYPHANT,PA,PA,84,1,Existing Business,Rural,150000,0
PLANTATION,FL,NC,68,3,New Business,Urban,14700,1
MIAMI,FL,NC,84,4,New Business,Urban,50000,0
VIRGINIA BEACH,VA,VA,240,25,New Business,Urban,958000,0
WESTLAND,MI,IL,60,15,New Business,Urban,67000,0
AURORA,CO,CO,120,2,Existing Business,Undefined,50000,0
BEREA,OH,OH,60,1,Existing Business,Urban,16508,0
FRIENDSWOOD,TX,DC,84,3,Existing Business,Undefined,70000,0
Coconut Grove,FL,NC,69,3,New Business,Urban,50800,1
VIRGINIA BEACH,VA,CA,49,1,Existing Business,Urban,5000,1
BEDFORD,PA,PA,75,5,New Business,Rural,25000,0
VICTORIA,TX,TX,180,3,Existing Business,Urban,336000,0
LAKE WORTH,FL,NC,84,11,New Business,Rural,120475,0
Columbus,GA,SD,48,10,New Business,Urban,100000,0
GARDEN GROVE,CA,CA,120,18,New Business,Undefined,370000,0
REDDING,CA,VA,84,2,New Business,Urban,25000,0
SEATTLE,WA,NC,84,10,New Business,Urban,13000,0
LA PUENTE,CA,NC,48,8,Existing Business,Urban,10000,1
NEW ORLEANS,LA,VA,42,1,New Business,Undefined,50000,1
SUNNYVALE,CA,NC,84,6,New Business,Urban,195378,0
BEDFORD,NH,MA,60,6,New Business,Undefined,92000,0
CERRITOS,CA,NC,84,3,Existing Business,Urban,10000,0
Bethesda,MD,MD,36,150,New Business,Urban,100000,0
CLIFTON,NJ,NY,69,25,Existing Business,Urban,16300,1
MIAMI,FL,NC,41,8,New Business,Urban,50000,1
NEWPORT CENTER (RR NAME CENTER,VT,VT,30,1,New Business,Rural,79980,1
LIVINGSTON,TX,NC,84,1,New Business,Urban,60000,0
MILLER PLACE,NY,NY,85,15,Existing Business,Undefined,80000,0
DALLAS,GA,NC,37,3,New Business,Urban,50000,1
FORT LEE,NJ,CA,120,14,New Business,Urban,487500,0
CANTON,GA,NC,84,18,New Business,Urban,150000,0
HARNETT,NC,SC,264,10,New Business,Rural,1667500,0
PLEASANT GROVE,UT,UT,84,2,Existing Business,Urban,74650,0
LISBON FALLS,ME,ME,120,3,New Business,Undefined,140000,0
LOS ANGELES,CA,NC,84,8,New Business,Urban,130665,0
PROVO,UT,UT,84,8,New Business,Urban,121100,0
RIVERSIDE,CA,CA,300,7,New Business,Undefined,145000,0
NASHVILLE,TN,NC,84,1,Existing Business,Urban,10000,0
TOWSON,MD,NC,84,3,New Business,Urban,11435,0
OREM,UT,UT,84,3,Existing Business,Urban,25000,0
STOCKTON,CA,CA,180,20,New Business,Undefined,252000,0
DETROIT,MI,IL,180,2,New Business,Urban,110000,0
CLARKSTON,MI,IL,84,1,Existing Business,Urban,128000,0
PROVO,UT,UT,21,6,New Business,Urban,51562,1
SOUTH GATE,CA,NC,84,6,New Business,Urban,128008,0
PETALUMA,CA,CA,240,5,Existing Business,Urban,362000,0
LIVINGSTON,TX,TX,48,2,New Business,Undefined,17000,0
NORTH RICHLAND HILLS,TX,NC,62,2,Existing Business,Urban,29989,1
BENICIA,CA,CA,300,6,New Business,Undefined,90900,0
GAINESVILLE,FL,NC,84,5,New Business,Urban,75000,0
HOUSTON,TX,MO,77,1,Existing Business,Urban,179000,1
MIAMI,FL,NC,84,6,New Business,Urban,50000,0
CHESAPEAKE,VA,TN,202,2,Existing Business,Urban,1101200,1
HOOD RIVER,OR,OR,60,1,New Business,Undefined,55000,0
FAIRVIEW,MO,AR,180,2,Existing Business,Undefined,500000,0
Erie,PA,DE,87,2,Existing Business,Urban,38500,0
PHOENIX,AZ,NC,84,2,New Business,Urban,64362,0
FAYETTEVILLE,AR,UT,68,12,New Business,Urban,250000,1
PORTLAND,OR,NC,84,5,Existing Business,Urban,10000,0
SALT LAKE CITY,UT,UT,48,6,New Business,Urban,42000,0
YAKIMA,WA,VA,84,15,New Business,Urban,50000,0
NEW YORK,NY,NY,102,2,Existing Business,Urban,334000,0
LAS VEGAS,NV,OR,243,3,New Business,Undefined,212500,0
PRINCE FREDERICK,MD,VA,240,1,Existing Business,Urban,1500000,0
YUCCA VALLEY,CA,NC,300,33,New Business,Undefined,511500,0
REXBURG,ID,UT,12,5,New Business,Urban,36000,0
WASHINGTON,DC,VA,240,6,New Business,Urban,404000,0
EDISON,NJ,VA,84,4,New Business,Urban,35000,0
SAN JOSE,CA,NC,84,1,New Business,Rural,29600,0
WATERFORD,MI,VA,48,2,New Business,Urban,50000,1
DALLAS,TX,TX,84,9,New Business,Undefined,130000,0
LOS ANGELES,CA,NC,20,22,New Business,Urban,64165,0
GERMANTOWN,WI,IL,84,2,Existing Business,Urban,149200,0
GERMANTOWN,WI,IL,99,2,Existing Business,Urban,67638,0
PROVO,UT,UT,60,5,Existing Business,Urban,90000,0
BARSTOW,CA,TX,300,37,New Business,Undefined,1000000,0
BAKERSFIELD,CA,NC,84,15,New Business,Rural,15000,0
GLENDALE,AZ,OR,300,6,New Business,Undefined,270000,0
MIAMI,FL,NC,84,6,Existing Business,Urban,10000,0
LONGWOOD,FL,FL,300,6,New Business,Undefined,415000,0
CHICO,CA,NC,84,2,New Business,Urban,105000,0
DERBY,KS,NC,240,28,New Business,Undefined,270000,0
RAYTOWN,MO,NC,8,1,Existing Business,Urban,12796,1
SAN MATEO,CA,DC,302,6,New Business,Undefined,443665,0
Joliet,IL,DE,10,1,Existing Business,Rural,72100,1
TEMPE,AZ,NC,84,2,New Business,Urban,50000,0
Algonquin,IL,IL,60,3,New Business,Urban,17628,0
ANAHEIM,CA,CA,240,11,New Business,Undefined,298000,0
NORTH MIAMI,FL,NC,84,28,New Business,Urban,90764,0
Needville,TX,VA,84,4,New Business,Urban,50000,0
PARKERSBURG,WV,VA,41,5,New Business,Rural,35000,1
Plymouth,NH,VA,31,4,New Business,Rural,35000,1
SANTA ANA,CA,TX,300,18,New Business,Undefined,742848,0
Tyler,TX,VA,84,3,New Business,Rural,50000,0
BUFORD,GA,NC,84,19,New Business,Urban,23000,0
BELTSVILLE,MD,NC,36,3,New Business,Urban,66000,1
GARDEN GROVE,CA,CA,120,10,New Business,Urban,100000,0
MIAMI,FL,NC,31,10,New Business,Urban,100000,1
RIVIERA BEACH,FL,FL,240,4,New Business,Urban,329000,0
PALM CITY,FL,NC,84,50,New Business,Urban,30000,0
CHELMSFORD,MA,NJ,120,4,Existing Business,Urban,294700,0
HIALEAH,FL,NC,55,1,New Business,Urban,50000,1
PORTLAND,OR,CA,120,3,New Business,Undefined,97500,0
Miami,FL,VA,23,5,New Business,Urban,35000,1
Morris,IL,VA,38,2,New Business,Urban,25000,1
PLACENTIA,CA,CA,240,100,New Business,Undefined,248000,0
Brooklyn,NY,VA,84,2,New Business,Urban,25000,0
YANTIC,CT,NH,60,6,New Business,Undefined,10000,0
ALBUQUERQUE,NM,NC,35,1,New Business,Urban,11000,1
CERRITOS,CA,NC,84,1,New Business,Urban,18000,0
MEMPHIS,TN,NC,84,2,Existing Business,Urban,13924,0
HONOLULU,HI,HI,60,40,New Business,Undefined,75000,0
HOLLYWOOD,FL,NC,84,3,New Business,Urban,25000,0
ANN ARBOR,MI,DE,48,2,New Business,Urban,37249,1
Rochester,NY,VA,48,3,New Business,Urban,50000,1
CLEVELAND,OH,IL,33,12,New Business,Urban,350000,0
INDIANAPOLIS,IN,IN,60,1,Existing Business,Urban,120000,0
WASHINGTON TERRACE,UT,UT,240,20,New Business,Urban,575000,0
CEDAR PARK,TX,SD,240,6,New Business,Undefined,433000,0
Stanfield,NC,VA,84,9,New Business,Urban,50000,0
SOUTH PASADENA,CA,CA,84,18,New Business,Undefined,100000,0
WASHINGTON,DC,NC,84,2,New Business,Urban,68229,0
DENVER,CO,UT,240,50,New Business,Undefined,588000,0
MONDOVI,WI,VA,26,1,New Business,Urban,10000,1
HUDSON,NH,MA,240,4,New Business,Undefined,140000,0
SHAKER HTS,OH,VA,20,4,New Business,Urban,50000,1
RENO,NV,NV,120,1,Existing Business,Undefined,300000,0
CYNTHIANA,KY,VA,84,6,New Business,Urban,35000,0
OCOEE,FL,CA,300,5,New Business,Rural,2000000,0
BLAINE,MN,VA,84,6,New Business,Urban,35000,0
WESLACO,TX,VA,84,8,New Business,Urban,50000,0
LOS ANGELES,CA,CA,12,2,New Business,Undefined,300000,0
SPRING,TX,IL,84,0,Existing Business,Urban,134200,0
FRESNO,CA,CA,300,1,Existing Business,Undefined,80000,0
HOUSTON,TX,TX,240,32,New Business,Urban,2000000,0
ALHAMBRA,CA,NC,84,8,Existing Business,Rural,10000,0
STILLWATER,OK,OK,60,15,New Business,Undefined,27200,0
TEMPE,AZ,NC,29,5,New Business,Urban,63000,1
LA PORTE,IN,IL,120,18,Existing Business,Undefined,300000,1
ALEXANDER CITY,AL,AL,84,2,Existing Business,Undefined,37000,0
BOWIE,MD,NC,22,1,Existing Business,Urban,6300,1
CINCINNATTI,OH,OH,60,15,New Business,Undefined,100000,0
LAKE ELSINORE,CA,NC,47,35,Existing Business,Urban,10000,1
LUTZ,FL,NC,15,6,New Business,Urban,167550,1
DALLAS,TX,TX,78,1,Existing Business,Undefined,100000,0
Glendale,AZ,VA,35,3,New Business,Urban,50000,1
MILWAUKEE,WI,IL,84,18,New Business,Urban,100000,0
CHICAGO,IL,IL,60,3,New Business,Undefined,35000,0
ARCADIA,CA,NC,84,10,Existing Business,Urban,10000,0
LA CRESCENTA,CA,NC,16,16,New Business,Urban,50000,1
MAUPIN,OR,SD,240,2,New Business,Undefined,34652,0
LOS ANGELES,CA,NC,84,13,New Business,Urban,25000,0
WORCESTER,MA,MA,204,12,New Business,Undefined,734000,0
SAN FRANCISCO,CA,NC,84,1,New Business,Urban,17536,0
LEANDER,TX,TX,240,62,New Business,Undefined,1304196,0
SHEBOYGAN,WI,IL,84,2,Existing Business,Rural,63000,0
RED BANK,NJ,PA,12,7941,New Business,Undefined,100000,0
